Order_ID,Date,Product,Category,Region,Channel,Sales_Rep,Quantity,Base_Price,Discount_Pct,Unit_Price,Revenue,COGS,Profit
ORD-10750,2024-01-01,Wireless Earbuds Z,Electronics,East,Retail,David L.,3,149,20.0,119.2,357.6,245.85,111.75
ORD-10601,2024-01-01,Cable Organizer Kit,Accessories,West,Retail,Grace N.,1,29,0.0,29.0,29.0,15.95,13.05
ORD-10056,2024-01-01,Office Chair Pro,Furniture,West,Retail,David L.,1,329,0.0,329.0,329.0,180.95,148.05
ORD-11603,2024-01-01,Mechanical Keyboard,Accessories,Central,Online,Henry P.,1,129,5.0,122.55,122.55,70.95,51.6
ORD-10862,2024-01-01,Cable Organizer Kit,Accessories,North,Partner,Frank O.,2,29,0.0,29.0,58.0,31.9,26.1
ORD-11644,2024-01-01,Notebook Bundle,Stationery,West,Partner,David L.,1,24,0.0,24.0,24.0,13.2,10.8
ORD-10212,2024-01-01,Notebook Bundle,Stationery,South,Online,Bob K.,2,24,0.0,24.0,48.0,26.4,21.6
ORD-10531,2024-01-02,Mechanical Keyboard,Accessories,West,Partner,Eva R.,2,129,0.0,129.0,258.0,141.9,116.1
ORD-11205,2024-01-02,"Monitor 27"" 4K",Electronics,West,Retail,Carol T.,1,599,0.0,599.0,599.0,329.45,269.55
ORD-11923,2024-01-02,Mechanical Keyboard,Accessories,West,Online,Carol T.,3,129,20.0,103.2,309.6,212.85,96.75
ORD-11327,2024-01-02,Smart Watch Ultra,Electronics,Central,Online,Henry P.,5,349,15.0,296.65,1483.25,959.75,523.5
ORD-11081,2024-01-02,Desk Lamp LED,Furniture,North,Online,Carol T.,1,89,15.0,75.65,75.65,48.95,26.7
ORD-11587,2024-01-03,USB-C Hub 7-in-1,Accessories,North,Retail,Henry P.,2,59,0.0,59.0,118.0,64.9,53.1
ORD-10619,2024-01-03,USB-C Hub 7-in-1,Accessories,East,Online,Bob K.,2,59,0.0,59.0,118.0,64.9,53.1
ORD-10357,2024-01-03,Notebook Bundle,Stationery,North,Retail,Bob K.,2,24,10.0,21.6,43.2,26.4,16.8
ORD-10611,2024-01-03,Webcam HD 1080p,Electronics,West,Online,Grace N.,1,99,0.0,99.0,99.0,54.45,44.55
ORD-11264,2024-01-04,Planner 2025,Stationery,West,Retail,David L.,5,19,10.0,17.1,85.5,52.25,33.25
ORD-10590,2024-01-04,Standing Desk,Furniture,North,Online,Bob K.,2,449,0.0,449.0,898.0,493.9,404.1
ORD-10605,2024-01-04,Ergonomic Mouse,Accessories,North,Retail,Grace N.,1,79,0.0,79.0,79.0,43.45,35.55
ORD-10003,2024-01-04,Planner 2025,Stationery,North,Online,Eva R.,1,19,20.0,15.2,15.2,10.45,4.75
ORD-10316,2024-01-04,Ergonomic Mouse,Accessories,West,Online,Carol T.,1,79,5.0,75.05,75.05,43.45,31.6
ORD-11202,2024-01-04,Ergonomic Mouse,Accessories,East,Partner,Eva R.,4,79,5.0,75.05,300.2,173.8,126.4
ORD-11032,2024-01-04,USB-C Hub 7-in-1,Accessories,West,Online,Carol T.,1,59,0.0,59.0,59.0,32.45,26.55
ORD-11298,2024-01-05,Cable Organizer Kit,Accessories,West,Online,Eva R.,1,29,0.0,29.0,29.0,15.95,13.05
ORD-10710,2024-01-05,Wireless Earbuds Z,Electronics,West,Retail,Frank O.,3,149,0.0,149.0,447.0,245.85,201.15
ORD-11201,2024-01-05,Wireless Earbuds Z,Electronics,West,Online,Alice M.,1,149,5.0,141.55,141.55,81.95,59.6
ORD-10410,2024-01-05,Ergonomic Mouse,Accessories,South,Retail,David L.,1,79,5.0,75.05,75.05,43.45,31.6
ORD-11894,2024-01-05,Planner 2025,Stationery,West,Online,Bob K.,1,19,5.0,18.05,18.05,10.45,7.6
ORD-11257,2024-01-05,Notebook Bundle,Stationery,West,Retail,Carol T.,1,24,10.0,21.6,21.6,13.2,8.4
ORD-10654,2024-01-05,Notebook Bundle,Stationery,East,Retail,Eva R.,1,24,5.0,22.8,22.8,13.2,9.6
ORD-11394,2024-01-06,Cable Organizer Kit,Accessories,West,Retail,Alice M.,1,29,0.0,29.0,29.0,15.95,13.05
ORD-11609,2024-01-06,Smart Watch Ultra,Electronics,South,Online,Eva R.,1,349,15.0,296.65,296.65,191.95,104.7
ORD-11415,2024-01-06,Smart Watch Ultra,Electronics,Central,Partner,Grace N.,1,349,0.0,349.0,349.0,191.95,157.05
ORD-11035,2024-01-06,Planner 2025,Stationery,East,Online,Frank O.,1,19,20.0,15.2,15.2,10.45,4.75
ORD-11889,2024-01-06,Planner 2025,Stationery,North,Online,Henry P.,1,19,0.0,19.0,19.0,10.45,8.55
ORD-11303,2024-01-06,Webcam HD 1080p,Electronics,North,Partner,Carol T.,1,99,0.0,99.0,99.0,54.45,44.55
ORD-11981,2024-01-06,Notebook Bundle,Stationery,East,Retail,Alice M.,4,24,5.0,22.8,91.2,52.8,38.4
ORD-11648,2024-01-07,Smart Watch Ultra,Electronics,North,Online,Henry P.,1,349,10.0,314.1,314.1,191.95,122.15
ORD-11914,2024-01-07,Portable SSD 1TB,Electronics,West,Online,Eva R.,2,119,5.0,113.05,226.1,130.9,95.2
